"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2007-9-1","750.00","688.50","752.80","686.60","185.62K","10.49%"
"2007-8-1","678.80","668.60","682.00","646.40","67.86K","0.86%"
"2007-7-1","673.00","659.00","690.40","656.00","11.86K","2.92%"
"2007-6-1","653.90","666.50","679.50","641.10","1.29M","-1.92%"
"2007-5-1","666.70","689.40","694.60","656.30","152.69K","-2.91%"
"2007-4-1","686.70","671.10","698.00","661.70","1.19M","2.65%"
"2007-3-1","669.00","656.20","673.80","642.50","151.19K","-0.98%"
"2007-2-1","675.60","658.50","699.00","648.00","1.12M","2.69%"
"2007-1-1","657.90","649.00","660.70","608.00","131.40K","2.62%"
"2006-12-1","641.10","655.00","655.50","615.10","683.28K","-1.81%"
"2006-11-1","652.90","627.00","654.50","626.50","71.88K","7.07%"
"2006-10-1","609.80","604.00","618.50","563.50","652.91K","0.93%"
"2006-9-1","604.20","633.50","633.50","586.00","81.87K","-4.28%"
"2006-8-1","631.20","640.40","662.50","610.00","61.93K","-1.44%"
"2006-7-1","640.40","654.00","667.00","610.00","5.52K","3.41%"
"2006-6-1","619.30","649.80","651.30","546.40","959.91K","-4.58%"
"2006-5-1","649.00","664.40","730.00","641.00","134.52K","-1.32%"
"2006-4-1","657.70","587.80","653.00","586.30","1.02M","12.10%"
"2006-3-1","586.70","545.00","594.60","545.00","173.78K","3.57%"
"2006-2-1","566.50","575.00","579.50","537.80","989.37K","-1.56%"
"2006-1-1","575.50","537.30","577.30","525.00","131.20K","10.42%"
"2005-12-1","521.20","498.00","544.50","492.30","1.00M","4.51%"
"2005-11-1","498.70","458.50","506.70","458.50","129.39K","6.38%"
"2005-10-1","468.80","471.50","483.10","462.00","993.57K","-0.74%"
"2005-9-1","472.30","473.10","477.80","471.10","119.62K","8.18%"
"2005-8-1","436.60","432.60","452.20","431.60","155.01K","0.88%"
"2005-7-1","432.80","422.00","433.50","422.00","9.90K","-1.32%"
"2005-6-1","438.60","418.70","445.40","416.70","1.08M","4.70%"
"2005-5-1","418.90","422.70","422.90","415.80","132.97K","-4.23%"
"2005-4-1","437.40","431.10","439.10","423.50","731.94K","1.46%"
"2005-3-1","431.10","435.70","435.70","428.00","77.71K","-1.75%"
"2005-2-1","438.80","424.30","438.20","411.50","740.43K","3.47%"
